"","PARPKO_r1","PARPKO_r2","PARPKO_r3","WT_r1","WT_r2","WT_r3"
"Lamc2",474,502,1334,308,286,654
"Cul3",4655,4574,10961,6588,6207,10555
"ENSMUSG00000103076",11,11,34,12,11,26
"ENSMUSG00000103525",1,1,4,4,5,3
"Gm6189",0,0,0,0,0,0
"Lamc1",10705,10696,26068,16395,15505,28146
"Ccdc195",0,0,0,0,0,0
"ENSMUSG00000103818",3,3,0,4,5,3
"ENSMUSG00000079138",1,3,0,0,0,5
"Shcbp1l",61,78,213,83,88,145
"Gm25588",2,0,1,4,4,0
"ENSMUSG00000103543",8,14,44,11,10,45
"Dnah7b",2,1,4,7,1,17
"n-R5s211",0,0,0,0,0,0
"Dhx9",12662,11996,30307,17610,16482,26343
"Gm8326",9,10,59,11,9,46
"Npl",660,624,1239,1148,1097,1569
"Gm6652",7,13,27,13,10,14
"Dnah7c",16,12,47,35,17,17
"Slc39a10",2773,2635,6161,3201,2969,5536
"ENSMUSG00000100213",29,35,12,19,10,16
"ENSMUSG00000103129",0,0,0,0,0,0
"ENSMUSG00000100160",2,2,0,3,1,1
"ENSMUSG00000101921",0,0,0,0,0,0
"ENSMUSG00000101447",0,1,0,0,2,0
"ENSMUSG00000081185",0,0,0,2,0,5
"ENSMUSG00000103246",0,0,0,0,0,0
"Mir6350",0,0,0,0,0,0
"ENSMUSG00000100530",0,0,0,0,0,0
"ENSMUSG00000104067",0,0,0,0,0,0
"Gm8337",6,12,13,15,15,17
"ENSMUSG00002075213",0,0,0,0,0,0
"ENSMUSG00002076633",0,0,0,0,0,0
"Gm19206",0,0,0,0,0,1
"Gm5974",6,7,17,5,12,23
"Gm23240",0,0,0,0,0,0
"ENSMUSG00000100866",0,0,0,0,0,0
"ENSMUSG00000101721",0,0,0,0,0,1
"Gm19124",0,0,3,0,0,0
"Gm8357",6,8,23,18,13,32
"ENSMUSG00002076043",0,0,0,0,0,0
"ENSMUSG00000099698",0,0,0,0,0,0
"Cspp1",1576,1501,4493,1763,1675,3388
"ENSMUSG00000099454",0,0,0,0,0,0
"C230029F24Rik",0,0,0,0,0,0
"Gm6757",0,0,0,1,0,1
"ENSMUSG00000099577",0,0,0,0,0,0
"ENSMUSG00000099882",0,0,0,0,0,0
"Gm8384",0,0,0,0,0,0
"ENSMUSG00000102356",0,0,0,0,0,0
"Gm8391",0,0,0,0,0,0
"ENSMUSG00002075839",0,0,0,0,0,0
"ENSMUSG00000100451",0,0,0,0,0,0
"Gm20118",0,0,0,0,0,0
"ENSMUSG00002075589",0,0,0,0,0,0
"Gm28321",0,1,0,2,9,4
"Rgs8",10,2,19,2,0,4
"ENSMUSG00000100945",0,0,0,0,0,0
"ENSMUSG00000102404",0,0,0,0,0,0
"Tmeff2",33,38,34,14,18,35
"Rgs16",234,211,320,140,145,260
"ENSMUSG00000100671",0,0,0,0,0,1
"ENSMUSG00002075527",0,0,0,0,0,0
"ENSMUSG00000101242",0,0,0,0,0,0
"ENSMUSG00000099924",0,1,0,0,0,0
"ENSMUSG00000099625",0,1,1,1,0,2
"Cavin2",40,27,83,25,21,92
"Gm5253",0,0,0,0,0,0
"Rnasel",20,16,11,11,5,37
"Arfgef1",1696,1653,5084,2525,2341,5313
"ENSMUSG00002076532",0,0,0,0,1,0
"ENSMUSG00000102556",0,0,0,0,4,0
"Dock10",13,7,43,21,22,67
"Cpa6",0,0,0,2,1,0
"ENSMUSG00000103810",0,0,8,0,0,0
"ENSMUSG00000083422",2,4,25,8,7,5
"Gm25253",0,0,0,0,0,0
"Rgsl1",1,0,0,0,0,2
"Gm15603",0,0,0,0,0,0
"ENSMUSG00000103448",0,0,0,0,0,0
"ENSMUSG00000103192",0,0,1,1,0,0
"ENSMUSG00000104488",0,0,0,0,0,0
"Gm5522",1,1,0,0,0,0
"ENSMUSG00000102721",0,0,0,0,0,1
"Gm28659",9,10,5,8,12,6
"ENSMUSG00002076499",0,0,0,0,0,0
"ENSMUSG00000099949",1,1,0,0,1,2
"ENSMUSG00000099918",0,0,0,0,0,0
"Nabp1",2104,2041,4823,2122,1993,3597
"ENSMUSG00000103424",0,0,0,0,0,0
"ENSMUSG00000104029",0,0,0,0,0,0
"Gm6198",0,0,0,0,0,0
"ENSMUSG00000087008",1,0,0,0,0,0
"Zfp648",0,0,0,0,0,0
"Prex2",886,802,2478,1526,1297,2066
"ENSMUSG00002076439",0,0,0,0,0,0
"Gm18727",0,0,0,0,0,0
"Gm24173",0,0,0,0,0,0
"ENSMUSG00000101827",1,3,10,6,12,10
"ENSMUSG00000103494",0,0,0,0,0,1
"Col4a4",3,5,6,5,5,5
"ENSMUSG00000101880",0,0,0,0,0,0
"ENSMUSG00000101433",0,0,0,0,0,0
"Ier5",161,130,265,96,92,129
"Mr1",18,10,16,1,4,7
"A830018L16Rik",123,136,332,127,110,267
"Stx6",698,667,1335,717,726,1074
"ENSMUSG00000103825",0,0,0,0,0,2
"ENSMUSG00000099845",0,1,0,0,0,0
"ENSMUSG00000103561",0,0,1,0,0,0
"ENSMUSG00000101610",0,1,1,1,0,3
"ENSMUSG00000104181",2,0,5,3,1,6
"Gm22633",0,0,0,0,0,0
"Mir6341",0,0,0,0,0,0
"ENSMUSG00000097628",1,0,20,8,9,5
"ENSMUSG00000098163",1,4,4,4,2,7
"BC034090",76,80,199,91,78,345
"ENSMUSG00000103670",0,1,0,1,0,5
"Xpr1",875,800,1918,1021,985,2123
"ENSMUSG00002076398",0,0,0,0,0,0
"Myo1b",1904,1904,3902,2618,2471,4470
"ENSMUSG00000101724",1,0,0,0,0,0
"ENSMUSG00000100313",0,2,0,0,0,0
"Gm8419",2,0,0,0,0,0
"ENSMUSG00002075355",0,0,0,0,0,0
"Gm8420",1010,966,709,1154,1115,660
"Cdc42bpa",805,806,2826,1135,1184,2520
"Acbd6",769,763,1632,944,935,1641
"ENSMUSG00000102194",0,1,0,0,0,4
"ENSMUSG00000103636",0,0,0,0,0,0
"Lhx4",3,0,1,0,0,0
"ENSMUSG00000103180",0,0,0,0,0,0
"Stat4",172,171,450,182,143,317
"ENSMUSG00000101628",0,1,0,1,0,0
"Gm3940",0,2,4,0,3,1
"Qsox1",262,270,424,203,197,300
"ENSMUSG00000102299",0,0,0,0,0,0
"ENSMUSG00000102558",1,0,0,0,2,0
"Sulf1",1888,1724,4524,1026,996,1711
"Cep350",924,906,3339,1656,1640,3488
"ENSMUSG00000103717",0,0,2,1,0,3
"ENSMUSG00000103771",0,0,0,0,0,0
"Coq8a",360,379,543,429,383,734
"Slco5a1",207,191,377,164,135,204
"ENSMUSG00000104518",0,0,0,0,0,0
"ENSMUSG00000069620",0,0,0,0,0,0
"Prdm14",383,332,617,1559,1482,2169
"Psen2",250,224,548,473,422,832
"Sphkap",1,1,20,1,0,0
"ENSMUSG00000104219",0,0,0,0,0,0
"Itpkb",73,73,242,44,24,145
"ENSMUSG00002076780",0,0,0,0,0,0
"ENSMUSG00000104388",0,0,7,0,1,0
"Gm24555",0,0,0,0,0,0
"ENSMUSG00000103123",0,0,0,0,0,0
"ENSMUSG00000103772",0,0,0,0,0,0
"Stum",1,2,0,3,2,11
"ENSMUSG00000104210",0,0,0,0,0,0
"Pid1",298,296,657,345,300,554
"ENSMUSG00000102750",2,2,0,1,0,1
"Gm18304",0,0,0,1,0,0
"Mir6353",0,0,0,0,0,0
"Fam163a",7,4,9,3,1,5
"Gli2",1096,1171,4577,3108,3084,7066
"Mir6346",0,0,0,0,0,0
"ENSMUSG00000097408",3,2,9,9,6,17
"Gm8321",2,1,3,1,1,3
"Gm3508",0,2,1,1,3,3
"Inhbb",430,382,919,1806,1758,2700
"Dner",117,107,50,142,107,198
"ENSMUSG00000104396",0,0,0,0,1,0
"ENSMUSG00000102481",1,0,0,0,2,4
"Ncoa2",960,931,2613,1369,1301,2612
"Mir5126",0,0,0,0,0,0
"Ralb",1286,1207,2419,1673,1576,3011
"Gm29454",0,0,0,2,0,0
"ENSMUSG00000103506",1,0,0,1,0,9
"ENSMUSG00000103495",1,0,0,1,2,0
"ENSMUSG00002076346",0,0,0,0,0,0
"ENSMUSG00000102639",0,0,0,0,1,0
"Tmem185b",244,217,434,432,424,393
"ENSMUSG00000104170",0,0,0,0,1,0
"Gm23169",0,0,0,1,0,5
"3830432H09Rik",2,5,23,7,3,8
"ENSMUSG00000103085",4,6,0,6,5,5
"Gm25322",0,0,0,0,0,0
"ENSMUSG00000102664",0,0,0,7,4,8
"Gm7593",0,3,18,0,2,16
"Parp1",1425,1407,3057,25907,24555,37347
"Tram1",1825,1769,3277,1774,1738,2737
"Lactb2",1950,1895,6912,2650,2616,7469
"ENSMUSG00000102982",25,17,40,29,39,74
"Xkr9",1,0,0,2,3,0
"Gm26273",0,0,0,0,0,0
"Gm5523",9,13,25,8,12,38
"ENSMUSG00000102166",0,0,0,0,0,0
