"","PARPKO_r1","PARPKO_r2","PARPKO_r3","WT_r1","WT_r2","WT_r3"
"ENSMUSG00002075355",0,0,0,0,0,0
"ENSMUSG00000072324",1010,966,709,1154,1115,660
"ENSMUSG00000026490",805,806,2826,1135,1184,2520
"ENSMUSG00000033701",769,763,1632,944,935,1641
"ENSMUSG00000102194",0,1,0,0,0,4
"ENSMUSG00000103636",0,0,0,0,0,0
"ENSMUSG00000026468",3,0,1,0,0,0
"ENSMUSG00000103180",0,0,0,0,0,0
"ENSMUSG00000062939",172,171,450,182,143,317
"ENSMUSG00000101628",0,1,0,1,0,0
"ENSMUSG00000078291",0,2,4,0,3,1
"ENSMUSG00000033684",262,270,424,203,197,300
"ENSMUSG00000102299",0,0,0,0,0,0
"ENSMUSG00000102558",1,0,0,0,2,0
"ENSMUSG00000016918",1888,1724,4524,1026,996,1711
"ENSMUSG00000033671",924,906,3339,1656,1640,3488
"ENSMUSG00000103717",0,0,2,1,0,3
"ENSMUSG00000103771",0,0,0,0,0,0
"ENSMUSG00000026489",360,379,543,429,383,734
"ENSMUSG00000025938",207,191,377,164,135,204
"ENSMUSG00000104518",0,0,0,0,0,0
"ENSMUSG00000069620",0,0,0,0,0,0
"ENSMUSG00000042414",383,332,617,1559,1482,2169
"ENSMUSG00000010609",250,224,548,473,422,832
"ENSMUSG00000026163",1,1,20,1,0,0
"ENSMUSG00000104219",0,0,0,0,0,0
"ENSMUSG00000038855",73,73,242,44,24,145
"ENSMUSG00002076780",0,0,0,0,0,0
"ENSMUSG00000104388",0,0,7,0,1,0
"ENSMUSG00000077736",0,0,0,0,0,0
"ENSMUSG00000103123",0,0,0,0,0,0
"ENSMUSG00000103772",0,0,0,0,0,0
"ENSMUSG00000053963",1,2,0,3,2,11
"ENSMUSG00000104210",0,0,0,0,0,0
"ENSMUSG00000045658",298,296,657,345,300,554
"ENSMUSG00000102750",2,2,0,1,0,1
"ENSMUSG00000101934",0,0,0,1,0,0
"ENSMUSG00000098851",0,0,0,0,0,0
"ENSMUSG00000015484",7,4,9,3,1,5
"ENSMUSG00000048402",1096,1171,4577,3108,3084,7066
"ENSMUSG00000098273",0,0,0,0,0,0
"ENSMUSG00000097408",3,2,9,9,6,17
"ENSMUSG00000096939",2,1,3,1,1,3
"ENSMUSG00000100767",0,2,1,1,3,3
"ENSMUSG00000037035",430,382,919,1806,1758,2700
"ENSMUSG00000036766",117,107,50,142,107,198
"ENSMUSG00000104396",0,0,0,0,1,0
"ENSMUSG00000102481",1,0,0,0,2,4
"ENSMUSG00000005886",960,931,2613,1369,1301,2612
"ENSMUSG00000093254",0,0,0,0,0,0
"ENSMUSG00000004451",1286,1207,2419,1673,1576,3011
"ENSMUSG00000101437",0,0,0,2,0,0
"ENSMUSG00000103506",1,0,0,1,0,9
"ENSMUSG00000103495",1,0,0,1,2,0
"ENSMUSG00002076346",0,0,0,0,0,0
"ENSMUSG00000102639",0,0,0,0,1,0
"ENSMUSG00000098923",244,217,434,432,424,393
"ENSMUSG00000104170",0,0,0,0,1,0
"ENSMUSG00000087782",0,0,0,1,0,5
"ENSMUSG00000101731",2,5,23,7,3,8
"ENSMUSG00000103085",4,6,0,6,5,5
"ENSMUSG00000084505",0,0,0,0,0,0
"ENSMUSG00000102664",0,0,0,7,4,8
"ENSMUSG00000101171",0,3,18,0,2,16
"ENSMUSG00000026496",1425,1407,3057,25907,24555,37347
"ENSMUSG00000025935",1825,1769,3277,1774,1738,2737
"ENSMUSG00000025937",1950,1895,6912,2650,2616,7469
"ENSMUSG00000102982",25,17,40,29,39,74
"ENSMUSG00000067813",1,0,0,2,3,0
"ENSMUSG00000077368",0,0,0,0,0,0
"ENSMUSG00000097711",9,13,25,8,12,38
"ENSMUSG00000102166",0,0,0,0,0,0
