"","ph.kmeans.cluster","gene","cluster_label"
"13647",3,"MYEOV","maternal_1C_2C_RNA"
"13648",5,"IGHMBP2","four_cell_RNA"
"13649",4,"MRPL21","hESC_RNA"
"13650",4,"TPCN2","hESC_RNA"
"13651",4,"MRGPRF","hESC_RNA"
"13652",2,"MRGPRF-AS1","maternal_oocyte_RNA"
"13653",5,"LOC102724265","four_cell_RNA"
"13654",4,"CCND1","hESC_RNA"
"13655",6,"LTO1","eight_cell_RNA"
"13656",1,"SMIM38","ICM_RNA"
"13657",6,"FGF3","eight_cell_RNA"
"13658",2,"FGF4","maternal_oocyte_RNA"
"13659",2,"LINC02584","maternal_oocyte_RNA"
"13660",4,"FGF19","hESC_RNA"
"13661",2,"ANO1","maternal_oocyte_RNA"
"13662",4,"FADD","hESC_RNA"
"13663",1,"CTTN","ICM_RNA"
"13664",1,"PPFIA1","ICM_RNA"
"13665",2,"FLJ42102","maternal_oocyte_RNA"
"13666",3,"KRTAP5-8","maternal_1C_2C_RNA"
"13667",6,"KRTAP5-7","eight_cell_RNA"
"13668",4,"DHCR7","hESC_RNA"
"13669",2,"KRTAP5-9","maternal_oocyte_RNA"
"13670",4,"NADSYN1","hESC_RNA"
"13671",5,"KRTAP5-10","four_cell_RNA"
"13672",4,"SHANK2","hESC_RNA"
"13673",5,"SHANK2-AS1","four_cell_RNA"
"13674",5,"SHANK2-AS3","four_cell_RNA"
"13675",3,"ZNF705E","maternal_1C_2C_RNA"
"13676",5,"KRTAP5-11","four_cell_RNA"
"13677",5,"RNF121","four_cell_RNA"
"13678",5,"LOC100133315","four_cell_RNA"
"13679",4,"FAM86C1","hESC_RNA"
"13680",5,"ALG1L9P","four_cell_RNA"
"13681",3,"PPP6R3","maternal_1C_2C_RNA"
"13682",2,"LINC01537","maternal_oocyte_RNA"
"13683",5,"FOLR2","four_cell_RNA"
"13684",4,"INPPL1","hESC_RNA"
"13685",1,"PHOX2A","ICM_RNA"
"13686",2,"CLPB","maternal_oocyte_RNA"
"13687",5,"FOLR3","four_cell_RNA"
"13688",4,"FCHSD2","hESC_RNA"
"13689",4,"ATG16L2","hESC_RNA"
"13690",2,"P2RY2","maternal_oocyte_RNA"
"13691",2,"FOLR1","maternal_oocyte_RNA"
"13692",3,"PDE2A","maternal_1C_2C_RNA"
"13693",2,"STARD10","maternal_oocyte_RNA"
"13694",4,"ARAP1","hESC_RNA"
"13695",4,"ARAP1-AS2","hESC_RNA"
"13696",4,"FAM168A","hESC_RNA"
"13697",3,"RELT","maternal_1C_2C_RNA"
"13698",1,"LOC100287837","ICM_RNA"
"13699",3,"ARHGEF17","maternal_1C_2C_RNA"
"13700",2,"P2RY6","maternal_oocyte_RNA"
"13701",1,"DNAJB13","ICM_RNA"
"13702",4,"MRPL48","hESC_RNA"
"13703",5,"RAB6A","four_cell_RNA"
"13704",5,"UCP3","four_cell_RNA"
"13705",6,"UCP2","eight_cell_RNA"
"13706",6,"PLEKHB1","eight_cell_RNA"
"13707",1,"C2CD3","ICM_RNA"
"13708",4,"COA4","hESC_RNA"
"13709",4,"PAAF1","hESC_RNA"
"13710",4,"PGM2L1","hESC_RNA"
"13711",4,"PPME1","hESC_RNA"
"13712",2,"P4HA3","maternal_oocyte_RNA"
"13713",2,"IL18BP","maternal_oocyte_RNA"
"13714",2,"LOC100128494","maternal_oocyte_RNA"
"13715",5,"LRTOMT","four_cell_RNA"
"13716",1,"NUMA1","ICM_RNA"
"13717",5,"ANAPC15","four_cell_RNA"
"13718",2,"LAMTOR1","maternal_oocyte_RNA"
"13719",4,"KCNE3","hESC_RNA"
"13720",4,"LIPT2","hESC_RNA"
"13721",5,"LOC100287896","four_cell_RNA"
